id,department_id,year_level,semester,course_code,course_title,lecture_hours,lab_hours,credits,plan_option
348,49,Graduate,N/A,ICS 711,PhD Pre-Dissertation,0,0,0,0
349,49,Graduate,N/A,ICS 712,PhD. Dissertation,0,0,0,0
350,49,Graduate,N/A,ICS xxx,Three ICS Courses in Major Area,0,0,0,0
351,49,Graduate,N/A,ICS xxx,Three ICS Courses in Breadth Area,0,0,0,0
352,49,Graduate,N/A,ICS xxx,One ICS Elective Course,0,0,0,0
353,49,Graduate,N/A,XXX xxx,Three General Elective Courses,0,0,0,0
354,49,Graduate,N/A,Major Area Elective I,ICS xxx,0,0,0,0
355,49,Graduate,N/A,Breadth Area Elective I,ICS xxx,0,0,0,0
356,49,Graduate,N/A,Breadth Area Elective II,ICS xxx,0,0,0,0
357,49,Graduate,N/A,Major Area Elective II,ICS xxx,0,0,0,0
358,49,Graduate,N/A,Breadth Area Elective III,ICS xxx,0,0,0,0
359,49,Graduate,N/A,CS Elective,ICS xxx,0,0,0,0
360,49,Graduate,N/A,Major Area Elective III,ICS xxx,0,0,0,0
361,49,Graduate,N/A,General Elective I,XXX xxx,0,0,0,0
362,49,Graduate,N/A,General Elective II,XXX xxx,0,0,0,0
363,49,Graduate,N/A,General Elective III,XXX xxx,0,0,0,0
364,49,Graduate,N/A,Seminar,ICS 699,0,0,0,0
365,49,Graduate,N/A,PhD Pre-Dissertation,ICS 711,0,0,0,0
366,49,Graduate,N/A,PhD. Dissertation,ICS 712,0,0,0,0
367,49,Graduate,N/A,PhD. Dissertation,ICS 712,0,0,0,0
368,49,Graduate,N/A,Major Area Elective I,ICS xxx,0,0,0,0
369,49,Graduate,N/A,Breadth Area Elective I,ICS xxx,0,0,0,0
370,49,Graduate,N/A,Breadth Area Elective II,ICS xxx,0,0,0,0
371,49,Graduate,N/A,Major Area Elective II,ICS xxx,0,0,0,0
372,49,Graduate,N/A,Breadth Area Elective III,ICS xxx,0,0,0,0
373,49,Graduate,N/A,CS Elective,ICS xxx,0,0,0,0
374,49,Graduate,N/A,Major Area Elective III,ICS xxx,0,0,0,0
375,49,Graduate,N/A,General Elective I,XXX xxx,0,0,0,0
376,49,Graduate,N/A,General Elective II,XXX xxx,0,0,0,0
377,49,Graduate,N/A,General Elective III,XXX xxx,0,0,0,0
378,49,Graduate,N/A,Seminar,ICS 699,0,0,0,0
379,49,Graduate,N/A,PhD Pre-Dissertation,ICS 711,0,0,0,0
380,49,Graduate,N/A,PhD. Dissertation,ICS 712,0,0,0,0
381,49,Graduate,N/A,PhD. Dissertation,ICS 712,0,0,0,0
382,46,Graduate,N/A,CEM 510,Project Planning and Control,0,0,0,0
383,46,Graduate,N/A,CEM 511,Cost Engineering and Machine Learning Applications,0,0,0,0
384,46,Graduate,N/A,CEM 520,Construction Contracting & Leadership,0,0,0,0
385,46,Graduate,N/A,CEM 530,Construction Robotics and Autonomous Systems,0,0,0,0
386,46,Graduate,N/A,CEM 599,Research Seminar,0,0,0,0
387,46,Graduate,N/A,CRP 505,Statistical Analysis in Planning,0,0,0,0
388,46,Graduate,N/A,CEM 610,Thesis,0,0,0,0
389,46,Graduate,N/A,CEM 5xx,CEM Elective,0,0,0,0
390,46,Graduate,N/A,XXX 5XX,Approved Elective,0,0,0,0
391,46,Graduate,N/A,Construction Contracting & Leadership,CEM 520,0,0,0,0
392,46,Graduate,N/A,CEM Elective,CEM 5xx,0,0,0,0
393,46,Graduate,N/A,Project Planning and Control,CEM 510,0,0,0,0
394,46,Graduate,N/A,Statistical Analysis in Planning,CRP 505,0,0,0,0
395,46,Graduate,N/A,Cost Engineering and Machine Learning Applications,CEM 511,0,0,0,0
396,46,Graduate,N/A,CEM Elective,CEM 5xx,0,0,0,0
